sentence,clause
"Prof. Mircea Eliade, a prolific writer and a leading scholar of religion, died Tuesday at Bernard Mitchell Hospital at the University of Chicago.", a prolific writer and a leading scholar of religion
"Joel W. Schenker, a Broadway producer, real-estate developer, builder and philanthropist, died at Lenox Hill Hospital Saturday, after a long illness.", a Broadway producer
"Dr. Leon Dmochowski, a specialist in virology and a cancer researcher, died of a heart attack Aug. 26 while vacationing in Mexico.", a specialist in virology and a cancer researcher
"Saul Miller, former information director for the A.F.L.-C.I.O., died of a heart ailment at a hospital here Thursday, the labor federation said.", former information director for the A.F.L.-C.I.O.
"Walter Lockhart Gordon, a former Finance Minister and one of the foremost advocates of Canadian economic independence from the United States, died after suffering a heart attack here on Saturday.", a former Finance Minister and one of the foremost advocates of Canadian economic independence from the United States
"Michel Pavloff, a member of Serge Diaghilev's Ballets Russes from 1916 to 1929, died Wednesday at Roosevelt Hospital.", a member of Serge Diaghilev's Ballets Russes from 1916 to 1929
"Grant F. Daniels, a former New York State Assemblyman and state official under three Governors, died Sunday in Memorial Hospital in Albany.", a former New York State Assemblyman and state official under three Governors
"Lorraine Collett Petersen, the model for the glowing young woman on the Sun-Maid Raisin box, died here Wednesday.", the model for the glowing young woman on the Sun-Maid Raisin box
"Denis M. Hurley, former Corporation Counsel of New York City and partner in the Brooklyn law firm of Hurley Kearney & Lane, died Monday at his home in Long Beach, L.I.", former Corporation Counsel of New York City and partner in the Brooklyn law firm of Hurley Kearney & Lane
"Lester E. Waterbury, a lawyer and former vice president and general counsel of the General Foods Corporation, died of leukemia Sunday in St. Augustine, Fla., where he lived.", a lawyer and former vice president and general counsel of the General Foods Corporation
"Henry J. Mali, chief executive officer of the nation's oldest and largest manufacturer of billiard table cloth, died yesterday at his home in Manhattan.", chief executive officer of the nation's oldest and largest manufacturer of billiard table cloth
"Alva Bernheimer Gimbel, an active philanthropist and the wife of the late Bernard F. Gimbel, the board chairman of Gimbel Brothers, died yesterday at her estate in Greenwich, Conn. She was 90 years old.", an active philanthropist and the wife of the late Bernard F. Gimbel
"Edna McConnell Clark, an heiress to the Avon Products cosmetic fortune who used her wealth to establish one of the country's leading private foundations, died yesterday at her summer home in Woods Hole, Mass.", an heiress to the Avon Products cosmetic fortune who used her wealth to establish one of the country's leading private foundations
"Erwin W. Geissman, a professor of English at Fordham University for 32 years and a specialist in Renaissance literature, died Wednesday at his home in College Point, Queens, after a long illness.", a professor of English at Fordham University for 32 years and a specialist in Renaissance literature
"Ann C. Mersereau, a Manhattan school district superintendent in the 1970's, died of cancer Tuesday at her home in Teaneck, N.J. She was 65 years old.", a Manhattan school district superintendent in the 1970's
"Margery D. McMullin, founder and director of the Handicapped Children's Home Service, died Thursday at St. Vincent's Hospital and Medical Center.", founder and director of the Handicapped Children's Home Service
"Haskell Katz, co-owner of the Stage Delicatessen and Restaurant and other restaurants in Manhattan, died Saturday at Mount Sinai Hospital after a long illness.", co-owner of the Stage Delicatessen and Restaurant and other restaurants in Manhattan
"John Coggeshall, a stockbroker and an authority on domestic and foreign gold investments, died Thursday at his farm in Dover Plains, N.Y.", a stockbroker and an authority on domestic and foreign gold investments
"Emanuel Perlmutter, a reporter for The New York Times for more than 40 years and an authority on organized crime, died yesterday at Long Island College Hospital in Brooklyn after a short illness.", a reporter for The New York Times for more than 40 years and an authority on organized crime
"Roland Meledandri, the clothing designer whose custom suits brought Italian styling to the wardrobes of many of America's bestdressed men, died of a heart attack Saturday morning after jogging in Central Park.", the clothing designer whose custom suits brought Italian styling to the wardrobes of many of America's bestdressed men
"Neil Bogart, the entertainment executive whose discoveries ranged from Donna Summer, the disco singer, to Curtis Mayfield, the composer of ''Shaft,'' died of cancer today at Cedars-Sinai Medical Center.", the entertainment executive whose discoveries ranged from Donna Summer
"John C. Korn, a former secretary of the New York Stock Exchange, died yesterday at his home in Rutherford, N.J.", a former secretary of the New York Stock Exchange
"James Angleton, the erudite Central Intelligence Agency officer whose search for Soviet agents inside the Government stirred an uproar in the murky worlds of intelligence for a generation, died here this morning of lung cancer.", the erudite Central Intelligence Agency officer whose search for Soviet agents inside the Government stirred an uproar in the murky worlds of intelligence for a generation
"Leon J. Yarrow, a psychologist who was branch chief of the National Institute of Child Health and Human Development in Bethesda, Md., died last Wednesday at the clinical center of the National Institutes of Health.", a psychologist who was branch chief of the National Institute of Child Health and Human Development in Bethesda
"Dr. Heinrich E. K. Henel, Sterling Professor Emeritus of German at Yale University, died last Saturday at the Yale-New Haven Hospital.", Sterling Professor Emeritus of German at Yale University
"FORT WORTH William Alvin Moncrief, a philanthropist who was one of four famous Texas wildcat oil drillers, died Wednesday in his office here.", a philanthropist who was one of four famous Texas wildcat oil drillers
"Barbara Coggin, who played Lucille for the last two years in the Broadway comedy ''Gemini,'' died in her sleep yesterday in her apartment at 121 West 72d Street.", who played Lucille for the last two years in the Broadway comedy ''Gemini
"William Gresser, a corporation attorney, author and musicologist, died Thursday at his Manhattan home.", a corporation attorney
"Richard Drayne, public affairs counsel for CBS News in Washington and a former press secretary and adviser to Senator Edward M. Kennedy, died of cancer yesterday at his home in Washington.", public affairs counsel for CBS News in Washington and a former press secretary and adviser to Senator Edward M. Kennedy
"Bernard P. McDonough, a multimillionaire industrialist and philanthropist, died Saturday at his mansion in Parkersburg.", a multimillionaire industrialist and philanthropist
"Tony Smith, the sculptor noted for his monochromatic, Minimalist structures done on a monumental scale, died of heart failure yesterday at New York Hospital, where he had been in the intensivecare unit since Dec. 14.", the sculptor noted for his monochromatic
"Ian Martin, an actor who appeared in seven Broadway shows and on 700 television programs, died of a heart ailment in Doctors Hospital last Saturday.", an actor who appeared in seven Broadway shows and on 700 television programs
"W. Linwood Chase, former dean of the Boston University School of Education and a specialist on child behavior and adolescence, died July 18 of Alzheimer's Disease at Queen Anne's Nursing Home in Hingham, Mass.", former dean of the Boston University School of Education and a specialist on child behavior and adolescence
"Warner E. Perkinson, retired retail advertising manager of The New York Times, died yesterday at a nursing home in Pompano Beach, Fla., after a long illness.", retired retail advertising manager of The New York Times
"Stephen Czufin, a retired advertising executive, died Saturday at St. Francis Hospital in Miami after a long illness.", a retired advertising executive
"Jerome Theodore Orans, a New York trial lawyer for 27 years, died of a heart attack Monday in New Rochelle Hospital.", a New York trial lawyer for 27 years
"Arthur Osgood Choate Jr., a retired general partner and executive committee chairman of Clark Dodge & Company, investment bankers, died Sunday at Jupiter Hospital in Jupiter, Fla.", a retired general partner and executive committee chairman of Clark Dodge & Company
"Matthew Thomas, an announcer on WQXR AM-FM since 1966, died of a brain aneurysm at the St. Luke's-Roosevelt Hospital Center yesterday.", an announcer on WQXR AM-FM since 1966
"Dr. J. Wayne Wrightstone, a former assistant superintendent of the New York City school system, died Sunday at Overlook Hospital in Summit, N.J.", a former assistant superintendent of the New York City school system
"Fred Dow Fagg Jr., a former president of the University of Southern California and director of the United States Bureau of Air Commerce, died Wednesday of cancer at the Willamette View Convalescent Center in Portland, Ore.", a former president of the University of Southern California and director of the United States Bureau of Air Commerce
"Sabit A. Orudzhev, Soviet Minister of the Gas Industry, died today after a serious illness, the official press agency Tass reported.", Soviet Minister of the Gas Industry
"Dr. Theodore Dunham Jr., an astronomer who discovered that the atmosphere of Venus contained a large amount of carbon dioxide, died Tuesday at his home in Chocorua, N.H.", an astronomer who discovered that the atmosphere of Venus contained a large amount of carbon dioxide
"Arthur J. Sills, New Jersey Attorney General from 1962 to 1970, died of a stroke Sunday at Perth Amboy (N.J.) General Hospital.", New Jersey Attorney General from 1962 to 1970
"Dr. James Horace Williams, a former director of the Lederle Laboratories who contributed to the development of sulfur drugs and other products, including aureomycin, died Thursday at his home in Ridgewood, N.J.", a former director of the Lederle Laboratories who contributed to the development of sulfur drugs and other products
"Marie de La Grange Hyde, an editor in the United States Office of War Information during World War II, died yesterday after a long illness at her home in Manhattan.", an editor in the United States Office of War Information during World War II
"Lenore Sorin, who directed marketing and fund-raising activities for Foster Parents Plan for 25 years, died Friday at Lenox Hill Hospital after a long illness.", who directed marketing and fund-raising activities for Foster Parents Plan for 25 years
"John S. Hewitt, retired president of the family products division of the Warner-Lambert Pharmaceutical Company and the Anahist Company, died Wednesday at the New London (N.H.) Hospital after a long illness.", retired president of the family products division of the Warner-Lambert Pharmaceutical Company and the Anahist Company
"Frank C. Emmick, a businessman who spent 14 years in Cuban prisons on charges that he was a spy for the Central Intelligence Agency, died yesterday at a hospital here after collapsing at a dance.", a businessman who spent 14 years in Cuban prisons on charges that he was a spy for the Central Intelligence Agency
"Alan S. Hays Sr., a prominent lawyer who specialized in international trade law for many years, died Sunday in Paris, where he had lived for several decades.", a prominent lawyer who specialized in international trade law for many years
"Edward Swayduck, the former head of the lithographers union in New York City, died Thursday at the Hollywood (Fla.) Medical Center of complications from Parkinson's disease.", the former head of the lithographers union in New York City
"Hugo Montenegro, the composer probably best remembered for the haunting themes he wrote for Western movies starring Clint Eastwood, died yesterday at his home here.", the composer probably best remembered for the haunting themes he wrote for Western movies starring Clint Eastwood
"Edward C. Duffy, retired president and vice chairman of the board of the Long Island Lighting Company, died of cancer last Thursday at his home in Floral Park, L.I.", retired president and vice chairman of the board of the Long Island Lighting Company
"Doris Emrick Lee, a painter and book illustrator known for her simplified, sympathetic renderings of country people working or celebrating American holidays, died on Thursday in Clearwater, Fla. She was 78 years old.", a painter and book illustrator known for her simplified
"Charles G. Davis, former chairman and chief executive of the Stone and Webster Engineering Corporation of Boston, died there Sunday at University Hospital.", former chairman and chief executive of the Stone and Webster Engineering Corporation of Boston
"H.R. Hays, a poet, novelist, translator, playwright, critic and early television writer, died of a heart attack yesterday at Southampton (L.I.)", a poet
"Martin Abzug, a stockbroker and the husband of former Representative Bella Abzug, died of a heart attack yesterday morning at their home in Manhattan.", a stockbroker and the husband of former Representative Bella Abzug
"Lieut. Gen. Thomas A. Wornham of the Marine Corps, retired, who was decorated for leading his troops in the assault on Iwo Jimain World War II, died at his home Monday.", retired
"A. Peter di Tullio, vice chairman of the Hyatt International Corporation, died Wednesday in Chicago.", vice chairman of the Hyatt International Corporation
"Kurt Bachrach-Baker, a journalist and former director of B'nai B'rith's foreign affairs department, died of a heart attack Tuesday at Sarasota (Fla.) Memorial Hospital.", a journalist and former director of B'nai B'rith's foreign affairs department
"Willard C. Drumm, a former Republican Assemblyman from Columbia County, died Monday, apparently of a heart attack.", a former Republican Assemblyman from Columbia County
"Jon Bradshaw, an author and a contributing editor of Esquire magazine, died Tuesday of a heart attack at the University of California at Los Angeles Medical Center, three days after collapsing while playing tennis.", an author and a contributing editor of Esquire magazine
"Dr. Emanuel E. Mandel, former director of medicine and medical education at the Kingsbrook Jewish Medical Center in Brooklyn, died Monday after open-heart surgery at New York University Hospital.", former director of medicine and medical education at the Kingsbrook Jewish Medical Center in Brooklyn
"State Representative Silvio A. Mastrianni, the Derby Democrat who was the majority whip of the Connecticut House of Representatives, died yesterday at Griffin Hospital here.", the Derby Democrat who was the majority whip of the Connecticut House of Representatives
"Grete Mosheim, a leading Berlin and West German stage actress, died of cancer yesterday at her home in Manhattan.", a leading Berlin and West German stage actress
"Gabriel Hauge, retired chairman of the Manufacturers Hanover Trust Company and an adviser to President Dwight D. Eisenhower, died of cancer yesterday at his home in Manhattan.", retired chairman of the Manufacturers Hanover Trust Company and an adviser to President Dwight D. Eisenhower
"John F. McKiernan, former New York regional director of the United States Department of Commerce, died Sunday at the Beth Israel Medical Center in Manhattan.", former New York regional director of the United States Department of Commerce
"J. Irwin Shapiro, a former associate justice of the Appellate Division of State Supreme Court, died Tuesday at the Peninsula Hospital Center in Far Rockaway, Queens.", a former associate justice of the Appellate Division of State Supreme Court
"Maurice Abraham, a partner in the Newark office of Arthur Young & Company, the accounting concern, died of a brain tumor Monday at Holy Name Hospital in Teaneck, N.J.", a partner in the Newark office of Arthur Young & Company
"R. Max Brooks, a Texas architect who designed some major buildings for the Government, died Thursday of cancer.", a Texas architect who designed some major buildings for the Government
"Sterling Hayden, the handsome blond actor who played wholesome leading-man movie roles in the 1940's and 1950's and later weathered into a rough-hewn solid character actor in films such as ''Dr.", the handsome blond actor who played wholesome leading-man movie roles in the 1940's and 1950's and later weathered into a rough-hewn solid character actor in films such as ''Dr.
"John P. Hederman, a partner in the New York City law firm of Mudge, Rose, Guthrie & Alexander, died Monday at the New York University Medical Center of complications following heart surgery.", a partner in the New York City law firm of Mudge
"Ellis M. Haller, an assistant managing editor of U.S. News & World Report, died Tuesday night of a heart attack in Orlando, Fla.", an assistant managing editor of U.S. News & World Report
"Warren N. Riker, a retired engineer associated with many overseas projects for the Walsh Construction Company of New York City, died Saturday in Myrtle Beach, S. C., where he lived.", a retired engineer associated with many overseas projects for the Walsh Construction Company of New York City
"Dr. George Charles Escher, a leading researcher on advanced breast cancer, died of a brain tumor yesterday at Montefiore Hospital.", a leading researcher on advanced breast cancer
"Toni Lander, a Danish ballerina who became internationally known as a principal dancer with the American Ballet Theater and London Festival Ballet, died of cancer yesterday in Salt Lake City.", a Danish ballerina who became internationally known as a principal dancer with the American Ballet Theater and London Festival Ballet
"Jacques Kayaloff, a former president of the Louis Dreyfus Corporation, a commodities concern in New York, died Wednesday after a long illness.", a former president of the Louis Dreyfus Corporation
"Alfred Smith Forsyth, a retired New York lawyer, died of emphysema last Saturday at his home in Santa Fe, N.M.", a retired New York lawyer
"Eric Gottgetreu, 78, Reported 3 Middle East Wars for A.P.", 78
"Adm. Arthur Dewey Struble, retired, a much-decorated Navy commander whose 41-year career encompassed the direction of naval operations off Omaha Beach in World War II and Inchon in the Korean War, died Sunday at his home in Chevy Chase, Md.", retired
"Charalambos A. Keusseoglou, founder and president of Sun Line and a leader in the cruise industry for more than three decades, died yesterday in Monte Carlo.", founder and president of Sun Line and a leader in the cruise industry for more than three decades
"Joe Tex, a soul singer and recording artist, died here today, three days after suffering a heart attack.", a soul singer and recording artist
"Teddy Wilson, a jazz pianist who achieved fame playing with Benny Goodman in the Swing Era of the 1930's, died today at his home here after a long illness.", a jazz pianist who achieved fame playing with Benny Goodman in the Swing Era of the 1930's
"Justin B. Herman, who produced short subjects for Paramount Pictures and was a writer and cartoonist, died of emphysema Dec. 3 at his home in New Hope, Pa.", who produced short subjects for Paramount Pictures and was a writer and cartoonist
"Karl Spooner, whose sore left arm cut short what had promised to be a brilliant pitching career with the Brooklyn Dodgers, died Tuesday after a long illness.", whose sore left arm cut short what had promised to be a brilliant pitching career with the Brooklyn Dodgers
"Arnold B. Dibble Dies at 65; Ex-Correspondent for U.P.I. EL PASO, Tex., Nov. 11 (UPI) - Arnold B. Dibble, a retired United Press International executive who reported on every continent except Antarctica in his 40-year career, died yesterday of an apparent heart attack.", Tex.
"James Cabell Bruce, Ambassador to Argentina under President Harry Truman and a financier who was once a director of 44 American corporations, died Thursday at St. Luke's Hospital in Manhattan after a brief illness.", Ambassador to Argentina under President Harry Truman and a financier who was once a director of 44 American corporations
"Ira M. Ventry, a professor of the science of hearing at Columbia University's Teachers College, died of cancer on Saturday at Mount Sinai Hospital.", a professor of the science of hearing at Columbia University's Teachers College
"Sinclair Howard Armstrong, a retired lawyer who was the second-oldest living graduate of Princeton University, died Tuesday in St. Luke's Hospital at the age of 99.", a retired lawyer who was the second-oldest living graduate of Princeton University
"Blake Tyler Newton Jr., who headed major life insurance industry associations for 18 years, died yesterday at his home in Washington after a long illness.", who headed major life insurance industry associations for 18 years
"C. Kilmer Myers, the retired Episcopal Bishop of California whose radical social and political views and conservative theological positions earned him influence beyond his church, died yesterday at the University of California Hospital in San Francisco.", the retired Episcopal Bishop of California whose radical social and political views and conservative theological positions earned him influence beyond his church
"Sarah Dorothy Porter, for more than 25 years a director of Reid Hall, a center for American university women in Paris, and an active worker for French-American and international cultural relations, died Saturday at her home in Hightstown, N.J. She was 86 years old.", for more than 25 years a director of Reid Hall
"Myra Kinch, a dancer, teacher and choreographer, died Friday at her home in Bonita Springs, Fla. She was 77 years old.", a dancer
"Former Representative William Meyer, a liberal who rose from political obscurity to become the only Democrat to represent Vermont in the House of Representatives, died Friday at the age of 68.", a liberal who rose from political obscurity to become the only Democrat to represent Vermont in the House of Representatives
"William Black, founder and chairman of the Chock Full o'Nuts Corporation, died of cancer yesterday at Mount Sinai Hospital.", founder and chairman of the Chock Full o'Nuts Corporation
"Edward E. B. Weiss, former senior vice president of Doyle Dane Bernbach and a writer on advertising and marketing, died of cardiac arrest Monday at the Mary Manning Walsh Home in Manhattan.", former senior vice president of Doyle Dane Bernbach and a writer on advertising and marketing
"Brig. Gen. Edward Gillette Jr., the former head of the department of physics and chemistry at the United States Military Academy at West Point, N.Y., died of a stroke last Friday at the Veterans Administration Hospital in Nashville.", the former head of the department of physics and chemistry at the United States Military Academy at West Point
"Laurence H. Burd, a former Washington correspondent for The Chicago Tribune and The Los Angeles Times and a retired computer analyst for the Federal Reserve Board, died of cardiopulmonary arrest today at Suburban Hospital in Bethesda, Md.", a former Washington correspondent for The Chicago Tribune and The Los Angeles Times and a retired computer analyst for the Federal Reserve Board
"Willie Sutton, the notorious bank robber and prison escape artist who carried out his exploits with the aid of ingenious disguises that won him the nickname ''Willie the Actor,'' died 17 days ago in the small town of Spring Hill, on the west coast of Florida, 45 miles north of Tampa.", the notorious bank robber and prison escape artist who carried out his exploits with the aid of ingenious disguises that won him the nickname ''Willie the Actor
"William Chamberlain Chanler, a trial lawyer who served as Corporation Counsel of New York City under Mayor Fiorello H. La Guardia from 1938 to 1942, died Monday at his home in Goldens Bridge, N.Y.", a trial lawyer who served as Corporation Counsel of New York City under Mayor Fiorello H. La Guardia from 1938 to 1942
"Gregory S. DeVine, former president of the Chesapeake & Ohio Railway and its affiliate, the Baltimore & Ohio Railroad, died Saturday at St. John's Hospital in Cleveland.", former president of the Chesapeake & Ohio Railway and its affiliate
"Galo Plaza Lasso, a former President of Ecuador who later served as Secretary General of the Organization of American States, died yesterday in Quito.", a former President of Ecuador who later served as Secretary General of the Organization of American States
"S. Ralph Cohen, a former assistant to the president of Scandinavian Airline Systems and a promoter of Scandinavian cultural programs in the United States, died of a heart attack yesterday at Doctors Hospital in Manhattan.", a former assistant to the president of Scandinavian Airline Systems and a promoter of Scandinavian cultural programs in the United States
"Samuel Gishman, a financial analyst with the Securities and Exchange Commission and the World Bank before retiring in 1975, died Sept. 2 at the Washington Adventist Hospital in Takoma Park, Md.", a financial analyst with the Securities and Exchange Commission and the World Bank before retiring in 1975
"Dr. George Washington Corner, whose research in human reproduction and sexuality led to the development of the contraceptive pill, died Monday at the home of his son, Dr. George W. Corner Jr., in Huntsville, Ala., where he lived.", whose research in human reproduction and sexuality led to the development of the contraceptive pill
"Heminway Merriman, a lawyer and former executive of Scovill Inc., a manufacturing concern in Waterbury, Conn., died of a heart attack Friday at King Edward VII Memorial Hospital in Bermuda.", a lawyer and former executive of Scovill Inc.
"Margaret Raymond Manning, book editor of The Boston Globe for the past 10 years, died of cancer yesterday at her home in Boston.", book editor of The Boston Globe for the past 10 years
"Jiro Horikoshi, designer of the Zero fighter plane used in the attack on Pearl Harbor at the outset of the Pacific phase of World War II, died of pneumonia today in a Tokyo hospital.", designer of the Zero fighter plane used in the attack on Pearl Harbor at the outset of the Pacific phase of World War II
"Anthony J. Abbruzze, an executive of Johnson & Johnson, died Saturday at the Columbia-Presbyterian Medical Center after a long illness.", an executive of Johnson & Johnson
"Kenji Osano, a confidant of former Prime Minister Kakuei Tanaka who was convicted of perjury in connection with the Lockheed payoff scandal, died of an ulcer early today at Toranomon Hospital, doctors said.", a confidant of former Prime Minister Kakuei Tanaka who was convicted of perjury in connection with the Lockheed payoff scandal
"Richard E. Bodkin, president of the Track Specialties Company, manufacturer of railroad track equipment in Westport, Conn., died of cancer Friday at his home in Westport.", president of the Track Specialties Company
"Louis Goldenberg, an accountant who became president of Wildenstein & Company, one of the foremost art galleries, died Wednesday.", an accountant who became president of Wildenstein & Company
"Robert S. Clement, a former Mayor and the patriarch of a Tennessee political family, died yesterday at the age of 80.", a former Mayor and the patriarch of a Tennessee political family
"Gail Thompson Kubik, a composer who distinguished himself in both serious and popular music, died Friday in Claremont, Calif.", a composer who distinguished himself in both serious and popular music
"Former Gov. Wesley Powell, who mounted 12 political campaigns over four decades in New Hampshire, died last night at his home.", who mounted 12 political campaigns over four decades in New Hampshire
"Jules Weiss, a former member of the board of directors of the La Mama Experimental Theater Company and a retired builder, died of a heart attack in his Greenwich Village home Saturday.", a former member of the board of directors of the La Mama Experimental Theater Company and a retired builder
"Lord Astor of Hever, former chairman of The Times of London and head of the Astor dynasty, which was founded in the United States and was later transplanted to Britain, died of cancer today at his home in Scotland.", former chairman of The Times of London and head of the Astor dynasty
"James Awe, a longtime theatrical company manager, died of cardio-pulmonary arrest Wednesday after being struck by two cars while walking on an upper Manhattan street.", a longtime theatrical company manager
"Richard Greene, a dashing actor who played leading roles in the 1930's and 40's, but whose greatest recognition came in the 50's when he played Robin Hood in a television series, died on Saturday at his home in Norfolk, England.", a dashing actor who played leading roles in the 1930's and 40's
"Prof. Richard Lodge, a member of the Adelphi University faculty who was on the board of directors of the American Civil Liberties Union, died Sunday at Mount Sinai Hospital.", a member of the Adelphi University faculty who was on the board of directors of the American Civil Liberties Union
"Marie Brown Brewer, a Democratic state committeewoman from the 29th Assembly District of Queens, died last Wednesday at Jamaica Hospital in Queens after a stroke.", a Democratic state committeewoman from the 29th Assembly District of Queens
"Winifred Wolfe, author of ''Ask Any Girl,'' ''If a Man Answers'' and other novels about career women in New York, died Tuesday at her home in Manhattan.", author of ''Ask Any Girl
"A. N. Spanel, philanthropist, inventor and founder of the International Latex Corporation, died of congestive heart failure Saturday at his home in Princeton, N.J.", philanthropist
"Fred M. Saidy, who collaborated with E.Y.", who collaborated with E.Y.
"The Rev. Richard E. Doyle, a classics scholar and vice president for academic affairs at Fordham University, died of cancer Saturday at Murray-Weigal Hall, a residence hall on Fordham's Rose Hill campus in the Bronx.", a classics scholar and vice president for academic affairs at Fordham University
"Ruth Smadbeck, chairman of the board of the Heckscher Foundation for Children, died Thursday at the Mary Manning Walsh Home in Manhattan.", chairman of the board of the Heckscher Foundation for Children
"Wendell B. Barnes, who saw the Small Business Administration through its infancy in the Eisenhower Administration, died of a heart attack Tuesday at a hospital near his home in Walnut Creek, Calif.", who saw the Small Business Administration through its infancy in the Eisenhower Administration
"George L. Staff, a management consultant for the textile industry, died of cancer Tuesday at his home in Ridgefield, Conn.", a management consultant for the textile industry
"Lincoln White, chief spokesman for the State Department for several years during the post-World War II period, died yesterday at a nursing home in Searcy, Ark.", chief spokesman for the State Department for several years during the post-World War II period
"John Robert McDowell, 59 years old, assistant Sunday editor of The Indianapolis Star, died Tuesday night a few hours after collapsing at his desk.", 59 years old
"H. J. (Jack) Porter, an oilman who was instrumental in transforming the Texas Republican Party from a small group into a potent statewide organization, died Sunday in Houston.", an oilman who was instrumental in transforming the Texas Republican Party from a small group into a potent statewide organization
"Art Passarella, a former major league umpire who went on to have a role in the television series ''The Streets of San Francisco'' and appear in several films, died of a heart attack here earlier this week.", a former major league umpire who went on to have a role in the television series ''The Streets of San Francisco'' and appear in several films
"Thomas J. Stasink, vice president of the Doubleday Book Club division, died of a heart attack Sunday at his Manhattan home.", vice president of the Doubleday Book Club division
"Conn Smythe, one of hockey's most influential and controversial owners, died of a heart attack yesterday at his home in Toronto.", one of hockey's most influential and controversial owners
"Timothy J. Sullivan, a State Supreme Court Justice in White Plains for the last 12 years, died of cancer Saturday at St. Agnes Hospital in White Plains.", a State Supreme Court Justice in White Plains for the last 12 years
"Louis D. Linley Jr., city editor of The Baltimore News-American for 12 years, died today as he was overseeing production of the newspaper's home delivery edition.", city editor of The Baltimore News-American for 12 years
"John Pierotti, who drew editorial and sports cartoons for The New York Post from 1950 to 1977, died yesterday in Delaware County Memorial Hospital in Drexel Hill, Pa.", who drew editorial and sports cartoons for The New York Post from 1950 to 1977
"Len B. Jordan, a former Governor of Idaho and United States Senator whose political career spanned a quarter of a century, died Thursday night after suffering a stroke two days ago.", a former Governor of Idaho and United States Senator whose political career spanned a quarter of a century
"Gardner Cowles Jr., founder and publisher of Look magazine and head of one branch of a family communications empire that included newspapers, magazines, book publishing and television stations, died of cardiac arrest yesterday at Southampton (L.I.)", founder and publisher of Look magazine and head of one branch of a family communications empire that included newspapers
"Ward Phelps, retired director of training for field development programs of Mutual of New York died Monday following a recent automobile accident in St. Simons Island, Ga., where he made his home.", retired director of training for field development programs of Mutual of New York died Monday following a recent automobile accident in St. Simons Island
"Ida Bienstock Landau, a former assistant general manager of the Jewish Telegraph Agency, died Sunday at her home in Los Angeles.", a former assistant general manager of the Jewish Telegraph Agency
"David Rosenthal, a real-estate entrepreneur, a former leader in the dress industry and a philanthropist, died Sunday in Good Samaritan Hospital in West Palm Beach, Fla.", a real-estate entrepreneur
"Kent Smith, an actor whose stage, film and television work spanned four decades and included roles in the movies ''Cat People'' in 1942 and ''Pete 'n' Tillie'' in 1972, died of heart disease Tuesday at the Motion Picture and Television Hospital.", an actor whose stage
"John S. Carroll, author and senior technical editor of the 14-volume Encyclopedia of Practical Photography, died Dec. 23 from injuries suffered in a fall at his home in Emlenton, Pa.", author and senior technical editor of the 14-volume Encyclopedia of Practical Photography
"Geoffrey Platt, an architect who was the first chairman of the New York City Landmarks Preservation Commission, died Friday night at Northern Westchester Hospital Center in Mount Kisco, N.Y.", an architect who was the first chairman of the New York City Landmarks Preservation Commission
"Vice Adm. Francis C. Denebrink, a Navy veteran of both World Wars and of the Korean War, in which he was responsible for the logistic support of all United States naval forces, died April 8 at Letterman Army General Hospital in San Francisco.", a Navy veteran of both World Wars and of the Korean War
"Thomas Bayard McCabe, who served as president and chief executive officer of the Scott Paper Company for 39 years and as chairman of the Federal Reserve Board for three years, died yesterday at his home in Swarthmore, Pa.", who served as president and chief executive officer of the Scott Paper Company for 39 years and as chairman of the Federal Reserve Board for three years
"Calvin Williams, a major operator of private livery services in New York City and a former New York State Assemblyman, died Saturday at the Veterans Administration Hospital in Brooklyn.", a major operator of private livery services in New York City and a former New York State Assemblyman
"Jerry Silverman, who used his knowledge of the dress business and the needs of American women to create a successful fashion house, died of cancer Thursday at the Columbia-Presbyterian Medical Center.", who used his knowledge of the dress business and the needs of American women to create a successful fashion house
"Donald J. Gormley, the executive secretary of the New York City Art Commission from 1959 to 1979, died Wednesday after suffering a heart attack at his summer home in Elizaville, N.Y.", the executive secretary of the New York City Art Commission from 1959 to 1979
"Harold Kendrick, former manager of the New Haven Symphony Orchestra, died last Thursday at St. Mary's Hospital in Milwaukee, where he was undergoing a heart operation.", former manager of the New Haven Symphony Orchestra
"Grace C. English, a retired New York City school principal, died Tuesday after a brief illness at Paul Kimball Hospital in Lakewood, N.J. She was 79 years old and lived in Lakewood.", a retired New York City school principal
"Ben H. Hazen, the principal founder and former chairman of the board of the Benjamin Franklin Federal Savings & Loan Association, was found dead in his apartment here on Saturday.", the principal founder and former chairman of the board of the Benjamin Franklin Federal Savings & Loan Association
"George C. Dickel Jr., retired head of construction and fuel-oil supply companies in Queens and on Long Island, died Sunday.", retired head of construction and fuel-oil supply companies in Queens and on Long Island
"Joseph Massengale, a stuntman and supporting actor, committed suicide while pleading on the phone with his estranged wife for a reconciliation, the authorities said today.", a stuntman and supporting actor
"Alice Baker Kean, president of the United Nations Hospitality Committee in the 1970's, died Thursday at New York Hospital.", president of the United Nations Hospitality Committee in the 1970's
"Grace M. Belt, a former State Department official who had been responsible for introducing distinguished foreign visitors to New York City's cultural and intellectual community, died Wednesday at her home in Manhattan.", a former State Department official who had been responsible for introducing distinguished foreign visitors to New York City's cultural and intellectual community
